city,region,country,month,high_temp_F,low_temp_F,mean_temp_F,precipitation_in,humidity_percent,dew_point_F,wind_mph,pressure_Hg,visibility_mi
Accra,,Ghana,January,89.0,75.0,82.0,1.57,75.0,73.0,14.0,29.85,5.0
Accra,,Ghana,February,90.0,77.0,84.0,1.79,77.0,75.0,17.0,29.84,6.0
Accra,,Ghana,March,91.0,78.0,84.0,2.29,78.0,76.0,17.0,29.83,7.0
Accra,,Ghana,April,90.0,78.0,84.0,2.93,78.0,76.0,16.0,29.83,7.0
Accra,,Ghana,May,89.0,77.0,83.0,5.11,80.0,75.0,15.0,29.87,8.0
Accra,,Ghana,June,85.0,75.0,80.0,6.39,84.0,74.0,15.0,29.93,7.0
Accra,,Ghana,July,83.0,75.0,79.0,2.78,84.0,73.0,19.0,29.95,7.0
Accra,,Ghana,August,83.0,74.0,78.0,1.83,84.0,72.0,20.0,29.95,7.0
Accra,,Ghana,September,85.0,75.0,79.0,2.44,84.0,73.0,19.0,29.92,7.0
Accra,,Ghana,October,86.0,75.0,80.0,3.75,83.0,74.0,15.0,29.88,7.0
Accra,,Ghana,November,88.0,76.0,82.0,2.67,80.0,75.0,13.0,29.86,7.0
Accra,,Ghana,December,89.0,76.0,82.0,2.07,78.0,75.0,13.0,29.85,5.0
Edmonton,Alberta,Canada,January,21.0,1.0,11.0,0.82,74.0,5.0,14.0,30.07,13.0
Edmonton,Alberta,Canada,February,24.0,2.0,13.0,0.53,73.0,7.0,14.0,30.08,13.0
Edmonton,Alberta,Canada,March,34.0,14.0,24.0,0.74,74.0,17.0,15.0,30.03,13.0
Edmonton,Alberta,Canada,April,50.0,27.0,38.0,1.08,64.0,26.0,17.0,29.98,14.0
Edmonton,Alberta,Canada,May,64.0,37.0,50.0,2.0,56.0,34.0,17.0,29.97,14.0
Edmonton,Alberta,Canada,June,70.0,46.0,58.0,2.92,67.0,46.0,15.0,29.91,14.0
Edmonton,Alberta,Canada,July,74.0,49.0,61.0,3.46,74.0,52.0,13.0,29.95,14.0
Edmonton,Alberta,Canada,August,73.0,46.0,59.0,2.02,74.0,50.0,12.0,29.97,14.0
Edmonton,Alberta,Canada,September,65.0,37.0,51.0,1.45,70.0,40.0,14.0,29.98,15.0
Edmonton,Alberta,Canada,October,51.0,26.0,39.0,0.77,70.0,29.0,15.0,29.98,15.0
Edmonton,Alberta,Canada,November,33.0,14.0,24.0,0.85,77.0,17.0,14.0,30.0,13.0
Edmonton,Alberta,Canada,December,23.0,2.0,13.0,0.63,75.0,7.0,14.0,30.03,13.0
Nassau,,Bahamas,January,80.0,65.0,72.0,2.67,75.0,63.0,16.0,30.11,8.0
Nassau,,Bahamas,February,81.0,66.0,73.0,2.07,75.0,64.0,16.0,30.1,8.0
Nassau,,Bahamas,March,82.0,67.0,74.0,2.24,71.0,64.0,17.0,30.07,8.0
Nassau,,Bahamas,April,84.0,69.0,77.0,2.45,71.0,66.0,17.0,30.04,8.0
Nassau,,Bahamas,May,87.0,72.0,80.0,4.94,74.0,70.0,15.0,30.02,8.0
Nassau,,Bahamas,June,90.0,75.0,83.0,8.4,76.0,74.0,14.0,30.03,7.0
Nassau,,Bahamas,July,91.0,77.0,84.0,5.8,74.0,75.0,14.0,30.07,7.0
Nassau,,Bahamas,August,92.0,77.0,84.0,7.74,76.0,76.0,13.0,30.02,7.0
Nassau,,Bahamas,September,90.0,76.0,83.0,7.01,77.0,75.0,12.0,29.97,7.0
Nassau,,Bahamas,October,88.0,75.0,81.0,5.44,77.0,73.0,15.0,29.97,7.0
Nassau,,Bahamas,November,84.0,71.0,77.0,3.53,75.0,68.0,17.0,30.03,8.0
Nassau,,Bahamas,December,81.0,67.0,74.0,1.73,77.0,66.0,16.0,30.09,8.0
Addis Ababa,,Ethiopia,January,74.0,49.0,61.0,0.42,49.0,41.0,16.0,29.95,12.0
Addis Ababa,,Ethiopia,February,77.0,52.0,64.0,0.84,49.0,43.0,16.0,29.89,11.0
Addis Ababa,,Ethiopia,March,78.0,55.0,67.0,2.14,47.0,44.0,16.0,29.86,10.0
Addis Ababa,,Ethiopia,April,77.0,56.0,67.0,3.87,56.0,49.0,15.0,29.86,10.0
Addis Ababa,,Ethiopia,May,76.0,56.0,66.0,4.91,61.0,51.0,14.0,29.9,10.0
Addis Ababa,,Ethiopia,June,73.0,55.0,64.0,5.9,69.0,52.0,12.0,29.89,10.0
Addis Ababa,,Ethiopia,July,69.0,55.0,62.0,8.16,80.0,54.0,12.0,29.92,9.0
Addis Ababa,,Ethiopia,August,69.0,54.0,62.0,8.77,80.0,54.0,12.0,29.93,10.0
Addis Ababa,,Ethiopia,September,71.0,54.0,63.0,6.92,75.0,53.0,12.0,29.91,10.0
Addis Ababa,,Ethiopia,October,74.0,52.0,63.0,1.91,57.0,47.0,16.0,29.9,11.0
Addis Ababa,,Ethiopia,November,73.0,50.0,62.0,1.45,54.0,45.0,16.0,29.92,11.0
Addis Ababa,,Ethiopia,December,73.0,47.0,60.0,1.2,53.0,42.0,16.0,29.96,12.0
Frankfurt,Hesse,Germany,January,41.0,32.0,36.0,1.86,83.0,31.0,13.0,30.11,6.0
Frankfurt,Hesse,Germany,February,44.0,32.0,38.0,1.65,78.0,32.0,13.0,30.09,7.0
Frankfurt,Hesse,Germany,March,53.0,36.0,45.0,1.51,70.0,35.0,14.0,30.05,7.0
Frankfurt,Hesse,Germany,April,62.0,42.0,52.0,1.43,63.0,39.0,13.0,29.98,8.0
Frankfurt,Hesse,Germany,May,69.0,49.0,59.0,2.51,66.0,47.0,13.0,30.0,8.0
Frankfurt,Hesse,Germany,June,75.0,56.0,66.0,2.35,64.0,53.0,12.0,30.02,8.0
Frankfurt,Hesse,Germany,July,79.0,59.0,69.0,2.4,63.0,55.0,12.0,30.0,8.0
Frankfurt,Hesse,Germany,August,78.0,58.0,68.0,2.34,65.0,55.0,11.0,30.01,8.0
Frankfurt,Hesse,Germany,September,69.0,52.0,60.0,1.9,72.0,50.0,11.0,30.05,7.0
Frankfurt,Hesse,Germany,October,59.0,45.0,52.0,2.1,81.0,45.0,11.0,30.05,7.0
Frankfurt,Hesse,Germany,November,48.0,38.0,43.0,1.85,86.0,39.0,11.0,30.03,6.0
Frankfurt,Hesse,Germany,December,42.0,33.0,38.0,2.23,86.0,34.0,12.0,30.08,6.0
New Delhi,Delhi,India,January,70.0,46.0,58.0,1.84,80.0,50.0,6.0,30.05,1.0
New Delhi,Delhi,India,February,78.0,51.0,65.0,1.47,69.0,53.0,8.0,29.98,1.0
New Delhi,Delhi,India,March,88.0,60.0,74.0,2.99,59.0,58.0,9.0,29.87,2.0
New Delhi,Delhi,India,April,99.0,70.0,85.0,2.04,44.0,60.0,9.0,29.73,2.0
New Delhi,Delhi,India,May,105.0,77.0,91.0,2.28,42.0,64.0,10.0,29.59,2.0
New Delhi,Delhi,India,June,104.0,82.0,93.0,2.51,54.0,73.0,11.0,29.47,2.0
New Delhi,Delhi,India,July,98.0,81.0,89.0,8.82,74.0,79.0,8.0,29.47,1.0
New Delhi,Delhi,India,August,95.0,80.0,88.0,10.06,76.0,78.0,8.0,29.54,1.0
New Delhi,Delhi,India,September,95.0,78.0,86.0,3.92,70.0,75.0,7.0,29.66,2.0
New Delhi,Delhi,India,October,93.0,67.0,80.0,0.62,63.0,66.0,4.0,29.83,1.0
New Delhi,Delhi,India,November,83.0,55.0,69.0,0.07,67.0,56.0,4.0,29.96,1.0
New Delhi,Delhi,India,December,74.0,47.0,60.0,0.29,74.0,50.0,5.0,30.04,1.0
Adelaide,South Australia,Australia,January,87.0,64.0,76.0,0.96,45.0,50.0,13.0,29.91,12.0
Adelaide,South Australia,Australia,February,85.0,63.0,74.0,1.11,49.0,51.0,12.0,29.96,12.0
Adelaide,South Australia,Australia,March,81.0,60.0,71.0,0.98,53.0,51.0,11.0,30.03,12.0
Adelaide,South Australia,Australia,April,74.0,55.0,65.0,1.41,58.0,48.0,10.0,30.13,12.0
Adelaide,South Australia,Australia,May,66.0,51.0,59.0,2.49,67.0,46.0,10.0,30.17,10.0
Adelaide,South Australia,Australia,June,61.0,46.0,54.0,2.81,74.0,44.0,9.0,30.2,10.0
Adelaide,South Australia,Australia,July,60.0,46.0,53.0,3.09,72.0,44.0,12.0,30.13,10.0
Adelaide,South Australia,Australia,August,62.0,46.0,54.0,2.38,68.0,43.0,13.0,30.12,11.0
Adelaide,South Australia,Australia,September,68.0,49.0,58.0,1.97,60.0,43.0,14.0,30.08,11.0
Adelaide,South Australia,Australia,October,74.0,53.0,64.0,1.47,53.0,44.0,14.0,30.04,11.0
Adelaide,South Australia,Australia,November,79.0,57.0,68.0,0.9,49.0,46.0,14.0,29.98,12.0
Adelaide,South Australia,Australia,December,84.0,60.0,72.0,0.88,47.0,48.0,14.0,29.93,12.0
Guatemala City,,Guatemala,January,76.0,57.0,66.0,0.38,73.0,55.0,24.0,30.1,8.0
Guatemala City,,Guatemala,February,78.0,58.0,68.0,0.57,70.0,56.0,22.0,30.08,7.0
Guatemala City,,Guatemala,March,80.0,59.0,69.0,0.7,69.0,56.0,21.0,30.05,7.0
Guatemala City,,Guatemala,April,81.0,62.0,71.0,1.61,71.0,59.0,18.0,30.05,6.0
