month,high_temp_F,low_temp_F,mean_temp_F,precipitation_in,humidity_percent,dew_point_F,wind_mph,pressure_Hg,visibility_mi,city,country,region,lat,lng,population
January,89.0,75.0,82.0,1.57,75.0,73.0,14.0,29.85,5.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
February,90.0,77.0,84.0,1.79,77.0,75.0,17.0,29.84,6.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
March,91.0,78.0,84.0,2.29,78.0,76.0,17.0,29.83,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
April,90.0,78.0,84.0,2.93,78.0,76.0,16.0,29.83,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
May,89.0,77.0,83.0,5.11,80.0,75.0,15.0,29.87,8.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
June,85.0,75.0,80.0,6.39,84.0,74.0,15.0,29.93,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
July,83.0,75.0,79.0,2.78,84.0,73.0,19.0,29.95,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
August,83.0,74.0,78.0,1.83,84.0,72.0,20.0,29.95,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
September,85.0,75.0,79.0,2.44,84.0,73.0,19.0,29.92,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
October,86.0,75.0,80.0,3.75,83.0,74.0,15.0,29.88,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
November,88.0,76.0,82.0,2.67,80.0,75.0,13.0,29.86,7.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
December,89.0,76.0,82.0,2.07,78.0,75.0,13.0,29.85,5.0,Accra,Ghana,Greater Accra,5.556,-0.1969,1782150.0
January,21.0,1.0,11.0,0.82,74.0,5.0,14.0,30.07,13.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
February,24.0,2.0,13.0,0.53,73.0,7.0,14.0,30.08,13.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
March,34.0,14.0,24.0,0.74,74.0,17.0,15.0,30.03,13.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
April,50.0,27.0,38.0,1.08,64.0,26.0,17.0,29.98,14.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
May,64.0,37.0,50.0,2.0,56.0,34.0,17.0,29.97,14.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
June,70.0,46.0,58.0,2.92,67.0,46.0,15.0,29.91,14.0,Edmonton,Canada,Alberta,53.5344,-113.4903,1151635.0
